"id","year","player","team","completions","pass_attempts","passing_yards","passing_td","interception","times_sacked","sack_yards","longest_pass","qbr","rush_attempts","rushing_yards","rushing_td","longest_run","receptions","receiving_yards","receiving_td","longest_reception","fumble","fumbles_lost"
119,2015,"Emmanuel Sanders","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,6,83,0,25,0,0
120,2015,"Andre Caldwell","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,22,0,22,0,0
121,2015,"Owen Daniels","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,18,0,18,0,0
122,2015,"Demaryius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,8,0,8,0,0
123,2015,"Ronnie Hillman","DEN",0,0,0,0,0,0,0,0,,5,0,0,3,0,0,0,0,0,0
124,2015,"Jordan Norwood","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
125,2014,"Tom Brady","NWE",37,50,328,4,2,1,8,23,101.1,2,-3,0,-1,0,0,0,0,0,0
126,2014,"LeGarrette Blount","NWE",0,0,0,0,0,0,0,0,,14,40,0,9,0,0,0,0,0,0
127,2014,"Shane Vereen","NWE",0,0,0,0,0,0,0,0,,4,13,0,7,11,64,0,16,0,0
128,2014,"Julian Edelman","NWE",0,0,0,0,0,0,0,0,,1,7,0,7,9,109,1,23,0,0
129,2014,"Rob Gronkowski","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,6,68,1,22,0,0
130,2014,"Danny Amendola","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,5,48,1,17,0,0
131,2014,"Brandon LaFell","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,4,29,1,11,0,0
132,2014,"James Develin","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
133,2014,"Michael Hoomanawanui","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,1,4,0,4,0,0
134,2014,"Russell Wilson","SEA",12,21,247,2,1,3,13,45,110.6,3,39,0,17,0,0,0,0,0,0
135,2014,"Marshawn Lynch","SEA",0,0,0,0,0,0,0,0,,24,102,1,15,1,31,0,31,0,0
136,2014,"Robert Turbin","SEA",0,0,0,0,0,0,0,0,,2,21,0,19,0,0,0,0,0,0
137,2014,"Chris Matthews","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,4,109,1,45,0,0
138,2014,"Ricardo Lockette","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,59,0,25,0,0
139,2014,"Jermaine Kearse","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,45,0,33,0,0
